 0.44 0.576 0.0238    0.44 0.571 0.0000    0.44 0.294 0.0000    0.44 0.657 0.0338    0.44 0.689 0.0274    0.44 0.422 0.1388   
 1.32 0.488 0.0131    1.32 0.482 0.0056    1.32 0.349 0.0067    1.32 0.542 0.0412    1.32 0.623 0.0293    1.32 0.307 0.1197   
 2.20 0.456 0.0129    2.20 0.394 0.0073    2.20 0.362 0.0078    2.20 0.528 0.0217    2.20 0.676 0.0471    2.20 0.331 0.1048   
 3.08 0.455 0.0133    3.08 0.427 0.0129    3.08 0.391 0.0000    3.08 0.516 0.0166    3.08 0.502 0.0797    3.08 0.490 0.1300   
 3.96 0.442 0.0118    3.96 0.485 0.0106    3.96 0.359 0.0016    3.96 0.427 0.0198    3.96 0.579 0.0545    3.96 0.445 0.0816   
 4.84 0.508 0.0080    4.84 0.524 0.0092    4.84 0.398 0.0079    4.84 0.551 0.0156    4.84 0.688 0.0439   -1.00 -1.000 -1.0000   
