 0.00  0.00   0.0
 0.00  0.10   0.0
 0.00  0.20   0.0
 0.00  0.30   0.0
 0.00  0.40   0.0
 0.00  0.50   0.0
 0.00  0.60   0.0
 0.00  0.70   0.0
 0.00  0.80   0.0
 0.00  0.90   0.0
 0.00  1.00   0.0
 0.30  0.00  30.6
 0.30  0.10   0.0
 0.30  0.20   0.0
 0.30  0.30   0.8
 0.30  0.40   7.7
 0.30  0.50   5.4
 0.30  0.60   5.4
 0.30  0.70   2.5
 0.30  0.80   4.9
 0.30  0.90   8.1
 0.30  1.00   0.8
 0.60  0.00 169.3
 0.60  0.10   0.0
 0.60  0.20   0.0
 0.60  0.30  26.0
 0.60  0.40  22.2
 0.60  0.50  21.6
 0.60  0.60  12.1
 0.60  0.70  12.7
 0.60  0.80  13.7
 0.60  0.90  13.9
 0.60  1.00   0.0
 0.90  0.00 199.9
 0.90  0.10   0.0
 0.90  0.20   0.0
 0.90  0.30  32.5
 0.90  0.40  19.6
 0.90  0.50  16.8
 0.90  0.60  11.3
 0.90  0.70  17.8
 0.90  0.80  22.9
 0.90  0.90  21.0
 0.90  1.00   1.0
 1.20  0.00  96.1
 1.20  0.10   0.0
 1.20  0.20   0.0
 1.20  0.30  21.8
 1.20  0.40  14.8
 1.20  0.50  13.0
 1.20  0.60  14.3
 1.20  0.70  13.2
 1.20  0.80  27.5
 1.20  0.90  19.5
 1.20  1.00   0.0
 1.50  0.00  31.8
 1.50  0.10   0.0
 1.50  0.20   0.0
 1.50  0.30  19.2
 1.50  0.40   6.8
 1.50  0.50  11.1
 1.50  0.60  14.4
 1.50  0.70  15.0
 1.50  0.80   9.6
 1.50  0.90   5.9
 1.50  1.00   0.0
 1.80  0.00  14.8
 1.80  0.10   0.0
 1.80  0.20   0.0
 1.80  0.30   7.7
 1.80  0.40  16.5
 1.80  0.50  12.9
 1.80  0.60   8.1
 1.80  0.70   2.1
 1.80  0.80   1.9
 1.80  0.90   2.0
 1.80  1.00   0.0
 2.10  0.00  17.5
 2.10  0.10   0.0
 2.10  0.20   0.0
 2.10  0.30   8.0
 2.10  0.40   8.8
 2.10  0.50  11.9
