 0.00  0.00   0.0
 0.00  0.10   0.0
 0.00  0.20   0.0
 0.00  0.30   0.0
 0.00  0.40   0.0
 0.00  0.50   0.0
 0.00  0.60   0.0
 0.00  0.70   0.0
 0.00  0.80   0.0
 0.00  0.90   0.0
 0.00  1.00   0.0
 0.30  0.00   0.0
 0.30  0.10   0.0
 0.30  0.20   0.0
 0.30  0.30   0.0
 0.30  0.40   0.0
 0.30  0.50   0.0
 0.30  0.60   1.7
 0.30  0.70   1.3
 0.30  0.80   1.0
 0.30  0.90   4.2
 0.30  1.00   0.0
 0.60  0.00 206.5
 0.60  0.10   0.0
 0.60  0.20   0.0
 0.60  0.30  42.4
 0.60  0.40  44.1
 0.60  0.50  62.9
 0.60  0.60  49.9
 0.60  0.70  50.4
 0.60  0.80  39.7
 0.60  0.90  57.7
 0.60  1.00   0.1
 0.90  0.00 269.9
 0.90  0.10   0.0
 0.90  0.20   0.0
 0.90  0.30  61.8
 0.90  0.40  74.4
 0.90  0.50  89.1
 0.90  0.60  79.1
 0.90  0.70  34.6
 0.90  0.80  50.4
 0.90  0.90  51.6
 0.90  1.00   0.9
 1.20  0.00  73.1
 1.20  0.10   0.0
 1.20  0.20   0.0
 1.20  0.30  17.3
 1.20  0.40  26.4
 1.20  0.50  19.1
 1.20  0.60  13.9
 1.20  0.70  17.8
 1.20  0.80  35.4
 1.20  0.90  25.0
 1.20  1.00   0.0
 1.50  0.00  39.9
 1.50  0.10   0.0
 1.50  0.20   0.0
 1.50  0.30  23.8
 1.50  0.40  16.4
 1.50  0.50  18.5
 1.50  0.60  10.0
 1.50  0.70   8.1
 1.50  0.80  13.9
 1.50  0.90   5.3
 1.50  1.00   0.0
 1.80  0.00  22.0
 1.80  0.10   0.0
 1.80  0.20   0.0
 1.80  0.30  13.6
 1.80  0.40  20.2
 1.80  0.50  12.9
 1.80  0.60   3.4
 1.80  0.70   2.6
 1.80  0.80   0.5
 1.80  0.90   2.0
 1.80  1.00   0.0
 2.10  0.00  13.3
 2.10  0.10   0.0
 2.10  0.20   0.0
 2.10  0.30   7.9
 2.10  0.40   9.8
 2.10  0.50   4.2
