350         0.000          0.000          0.000          0.001          0.001          0.002          0.002          0.003          0.003          0.003          0.003          0.003          0.003          0.004          0.004          0.004          0.004          0.004          0.004          0.011          0.013          0.015          0.017          0.019          0.020          0.023          0.026          0.031          0.037          0.045          0.055          0.068          0.090          0.130          0.211          0.398          0.689          0.866          1.038          1.221          1.418          1.629          1.857          2.105          2.304          2.514          2.739          2.973          3.221          3.483          3.757          4.040          4.337          4.639          4.957          5.282          5.613          5.954          6.310          6.668          7.040          7.420          7.805          8.203          8.614          9.028          9.445          9.881         10.318         10.765         11.210         11.663         12.123         12.589         12.930         13.268         13.614         13.957         14.295         14.628         14.969         15.304         15.646         15.995         16.338         16.688         17.045         17.410         17.766         18.130         18.484         18.845         19.213         19.570         19.916         20.267         20.606         20.912         21.242         21.538         21.837         22.141         22.428         22.719         23.057         23.399         23.746         24.099         24.479         24.865         25.328         25.822         26.399         27.064         27.848         29.107         30.761         32.449         34.009         35.579         37.119         38.406         39.482         40.364         41.077         41.687         42.189         42.697         43.132         43.571         44.014         44.422         44.792         45.164         45.540         45.877         46.216         46.430         46.558         46.644         46.687         46.687         46.687         46.601         46.430         46.131         45.835         45.456         45.164         44.792         44.299         43.691         42.933         41.956         40.550         38.654         36.341         33.635         30.817         28.106         25.515         23.014         20.606         18.315         16.278         15.011         14.361         14.047         13.983         14.047         14.204         14.428         14.723         15.066         15.403         15.790         16.203         16.657         17.155         17.668         18.214         18.793         19.409         20.063         20.739         21.439         22.182         22.951         23.790         24.660         25.586         26.570         27.593         28.681         29.812         30.988         32.270         33.573         34.898         36.274         37.670         39.120         40.625         42.150         43.732         45.331         46.644         48.261         49.888         50.072         50.303         50.535         50.769         50.956         51.144         51.380         51.570         51.808         51.999         53.161         51.999         51.760         54.954         57.756         60.422         62.979         65.282         67.483         69.438         71.252         72.777         74.130         75.508         76.771         78.054         79.213         80.463         81.733         82.870         83.791         84.878         86.059         87.578         89.124         90.614         92.129         93.583         95.060         96.382         97.813         99.174        100.553        101.764        102.706        103.466        104.327        105.292        106.659        109.344        112.304        115.557        118.685        121.561        123.707        125.428        126.939        128.114        128.942        128.942        127.996        127.408        126.589          0.004          0.004          0.004  
480         0.004          0.005          0.007          0.012          0.018          0.024          0.030          0.036          0.040          0.042          0.044          0.045          0.047          0.048          0.049          0.050          0.051          0.052          0.055          0.136          0.162          0.189          0.216          0.241          0.267          0.299          0.346          0.418          0.520          0.646          0.802          1.024          1.359          1.897          2.749          4.286          6.200          7.305          8.242          9.163         10.093         11.047         12.023         13.038         13.817         14.616         15.432         16.294         17.188         18.098         19.038         20.009         21.010         22.020         23.058         24.101         25.167         26.256         27.342         28.473         29.596         30.763         31.947         33.146         34.390         35.647         36.917         38.232         39.557         40.891         42.231         43.574         44.960         46.305         47.340         48.353         49.343         50.353         51.384         52.387         53.410         54.403         55.415         56.393         57.442         58.456         59.488         60.538         61.550         62.579         63.625         64.688         65.709         66.746         67.737         68.679         69.571         70.474         71.322         72.182         72.984         73.795         74.615         75.444         76.353         77.273         78.276         79.291         80.394         81.588         82.876         84.416         86.144         88.151         90.537         94.368         99.547        104.816        109.857        114.928        119.902        124.173        127.652        130.505        132.931        134.904        136.655        138.301        139.838        141.262        142.701        144.021        145.354        146.699        147.920        149.288        150.531        151.784        152.907        154.037        155.034        156.036        157.046        158.062        158.937        159.671        160.408        161.000        161.594        162.042        162.191        162.042        161.297        160.260        158.207        155.034        150.670        145.354        139.452        132.931        126.248        119.792        113.351        107.158        102.241        100.006         99.914        101.024        102.903        105.299        108.050        111.078        114.400        117.822        121.346        125.091        129.070        133.422        138.047        142.964        148.192        153.754        159.671        165.969        172.833        179.981        187.770        196.077        205.129        214.796        225.126        236.388        248.443        261.352        275.186        290.286        306.497        323.911        342.631        362.432        383.730        406.281        430.553        456.695        484.425        513.838        543.533        577.067        611.542        616.632        621.193        626.363        630.995        636.248        640.953        645.693        650.468        655.279        660.125        687.426        651.668        637.421        715.198        793.645        877.458        965.664       1056.881       1153.523       1253.217       1357.770       1462.939       1570.458       1684.326       1799.808       1912.609       2028.739       2145.983       2263.739       2374.796       2482.140       2584.796       2684.270       2779.881       2870.954       2948.671       3022.917       3084.795       3136.363       3174.141       3191.731       3197.616       3182.924       3150.839       3101.889       3034.074       2948.671       2842.014       2706.614       2549.331       2383.561       2210.173       2013.846       1816.462       1629.394       1464.287       1324.422       1205.664       1108.731       1036.636        969.229        919.658        879.076          0.050          0.050          0.050  
625         0.014          0.020          0.027          0.045          0.069          0.089          0.111          0.131          0.145          0.153          0.160          0.165          0.169          0.172          0.175          0.178          0.182          0.188          0.197          0.465          0.550          0.636          0.724          0.808          0.894          0.998          1.151          1.392          1.724          2.118          2.604          3.269          4.200          5.552          7.434         10.347         13.640         15.446         16.952         18.383         19.826         21.263         22.742         24.256         25.376         26.572         27.773         29.002         30.285         31.566         32.902         34.263         35.647         37.053         38.479         39.923         41.383         42.897         44.384         45.880         47.427         49.026         50.586         52.195         53.855         55.568         57.283         58.996         60.761         62.521         64.332         66.134         67.987         69.763         71.126         72.515         73.863         75.167         76.494         77.844         79.146         80.543         81.814         83.181         84.494         85.827         87.102         88.476         89.790         91.123         92.390         93.762         95.066         96.300         97.550         98.725         99.822        100.931        102.053        102.997        104.046        105.106        106.078        107.060        108.150        109.352        110.669        112.002        113.456        115.034        116.849        118.803        121.123        123.944        127.182        132.442        139.581        146.834        153.754        160.704        167.504        173.311        178.003        181.981        185.194        187.770        190.207        192.321        194.458        196.438        198.439        200.275        202.128        203.998        205.886        207.599        209.520        211.654        213.809        215.986        218.186        220.611        223.062        225.541        228.048        230.582        233.145        235.519        237.698        239.677        241.449        242.787        243.908        244.133        243.908        242.341        239.016        234.653        228.890        222.447        215.787        208.942        202.314        196.077        192.144        192.498        195.356        199.906        205.318        211.459        218.186        225.334        232.930        240.783        248.672        257.055        265.966        275.440        285.776        296.501        308.195        320.646        333.907        348.038        363.435        379.862        397.399        416.511        436.944        459.226        483.533        509.127        537.559        568.102        601.487        637.421        676.124        718.499        764.234        813.629        867.014        924.754        987.248       1054.936       1127.266       1204.554       1287.141       1376.659       1472.401       1486.026       1499.775       1512.259       1526.252       1540.374       1553.196       1567.568       1580.615       1595.241       1608.519       1684.326       1580.615       1536.124       1755.603       1984.386       2234.736       2507.415       2797.862       3110.472       3438.953       3795.126       4165.108       4550.156       4966.223       5385.503       5813.347       6252.104       6705.424       7151.979       7579.250       7987.783       8387.379       8766.501       9145.896       9480.392       9763.966      10009.819      10186.530      10318.729      10375.911      10347.280      10242.979      10065.289       9809.034       9524.150       9188.111       8774.578       8272.300       7642.338       6848.986       6064.937       5316.505       4558.545       3897.860       3376.185       2970.477       2664.564       2443.578       2291.006       2234.736       2210.173       2220.375       2247.120          0.180          0.180          0.180  
770         0.046          0.062          0.087          0.139          0.203          0.256          0.313          0.365          0.398          0.420          0.436          0.449          0.459          0.467          0.476          0.484          0.494          0.507          0.530          1.126          1.301          1.470          1.635          1.785          1.932          2.109          2.357          2.727          3.212          3.774          4.418          5.258          6.386          7.951         10.093         13.379         17.030         19.003         20.646         22.204         23.770         25.306         26.867         28.499         29.732         30.990         32.272         33.607         34.932         36.343         37.742         39.159         40.628         42.114         43.614         45.126         46.690         48.220         49.800         51.384         53.018         54.655         56.341         58.026         59.762         61.493         63.274         65.107         66.931         68.806         70.669         72.582         74.478         76.353         77.773         79.146         80.543         81.965         83.335         84.728         86.144         87.504         88.885         90.287         91.712         93.074         94.455         95.858         97.191         98.634        100.006        101.304        102.713        104.046        105.299        106.568        107.752        108.849        109.958        110.975        112.105        113.143        114.190        115.140        116.420        117.605        118.912        120.345        121.906        123.602        125.437        127.534        130.025        132.931        136.404        141.914        149.426        157.190        164.296        171.722        178.989        185.023        190.207        194.458        197.891        200.829        203.435        205.886        208.174        210.294        212.435        214.598        216.584        218.789        220.814        222.857        225.126        227.419        229.946        232.502        235.086        237.698        240.562        243.459        246.392        249.589        252.596        255.874        258.718        261.352        263.771        265.966        267.933        269.170        270.163        269.666        267.686        264.257        259.434        253.996        247.985        241.895        236.171        231.220        228.890        231.220        236.171        242.564        250.280        258.480        267.194        276.456        286.303        296.501        306.497        317.122        328.418        340.742        353.530        367.474        382.319        398.131        415.361        433.337        452.925        474.271        497.080        521.466        548.058        577.067        608.172        642.135        679.245        719.161        762.827        809.890        862.236        917.965        979.098       1045.265       1116.931       1195.711       1280.048       1371.596       1471.046       1579.160       1693.660       1818.136       1953.558       1971.634       1991.711       2010.140       2028.739       2049.398       2068.361       2087.499       2106.814       2126.309       2144.007       2253.337       2102.937       2038.104       2350.857       2681.799       3048.079       3451.646       3890.687       4369.445       4889.070       5455.396       6064.937       6717.787       7427.219       8188.913       8987.239       9836.176      10735.599      11695.701      12683.125      13703.336      14778.361      15879.113      17030.453      18198.107      19392.166      20607.545      21838.674      23058.246      24278.748      25493.309      26670.197      27773.225      28842.061      29814.416      30706.213      31479.389      32094.176      32510.701      32660.758      32660.758      32450.865      31917.303      31190.783      30257.029      29351.230      28498.779      27747.652      27091.074      26645.648      26135.223      25824.166      25540.316          0.489          0.489          0.489  
1235         0.156          0.211          0.293          0.454          0.638          0.781          0.933          1.069          1.156          1.213          1.255          1.287          1.315          1.337          1.358          1.379          1.405          1.439          1.494          2.819          3.166          3.487          3.792          4.060          4.314          4.606          5.008          5.568          6.265          7.061          7.908          8.964         10.301         12.025         14.233         17.446         20.878         22.703         24.171         25.544         26.921         28.294         29.627         31.023         32.069         33.120         34.205         35.325         36.449         37.609         38.805         40.003         41.237         42.471         43.741         45.008         46.311         47.609         48.898         50.221         51.581         52.977         54.361         55.781         57.186         58.680         60.157         61.672         63.225         64.757         66.327         67.872         69.453         71.070         72.258         73.399         74.626         75.803         76.929         78.143         79.303         80.480         81.675         82.811         83.963         85.131         86.315         87.436         88.652         89.802         90.968         92.148         93.258         94.382         95.519         96.491         97.474         98.376         99.286        100.205        101.039        101.974        102.823        103.678        104.638        105.703        106.780        108.066        109.368        110.787        112.328        114.206        116.222        118.710        121.699        126.383        132.828        139.472        145.777        152.366        158.668        164.168        168.767        172.539        175.747        178.521        181.004        183.353        185.562        187.624        189.709        191.641        193.771        195.744        197.919        199.935        202.157        204.592        207.056        209.550        212.270        215.223        218.016        221.049        224.331        227.871        231.254        234.903        238.390        242.152        245.747        249.166        252.399        255.440        258.517        260.909        262.113        262.354        261.149        259.471        257.329        255.440        253.798        253.331        256.382        263.808        273.457        283.719        294.909        306.259        318.338        330.589        343.628        356.852        369.903        383.785        398.555        414.656        431.408        449.250        468.693        489.427        511.550        535.659        561.421        588.963        619.567        652.362        688.158        726.588        768.579        814.495        864.745        919.789        980.140       1045.414       1118.120       1196.984       1282.591       1378.124       1480.772       1594.000       1717.467       1853.909       2001.190       2162.162       2340.391       2533.310       2742.132       2770.054       2800.840       2829.361       2860.805       2889.937       2922.055       2951.810       2981.867       3012.231       3042.905       3212.834       2970.902       2863.441       3358.059       3894.828       4500.786       5181.892       5944.131       6793.417       7728.377       8783.919       9956.079      11232.807      12673.259      14245.849      15969.391      17852.057      19938.311      22206.916      24665.408      27345.654      30233.490      33395.531      36752.621      40335.582      44227.086      48404.797      52830.941      57555.699      62587.602      67996.773      73737.500      79815.711      86235.953      93001.156     100112.492     107668.406     115688.008     124076.180     132827.625     142065.422     151805.812     162214.016     173176.250     184879.281     196828.734     208972.188     221456.500     234254.766     246654.078     259231.812     271949.594     283980.312          1.395          1.395          1.395  
1662         0.161          0.218          0.302          0.469          0.662          0.814          0.976          1.123          1.218          1.277          1.323          1.359          1.389          1.412          1.436          1.460          1.487          1.524          1.585          3.092          3.499          3.879          4.245          4.570          4.883          5.242          5.737          6.431          7.310          8.308          9.348         10.615         12.153         13.941         15.933         18.565         21.198         22.589         23.741         24.791         25.840         26.860         27.893         28.940         29.724         30.500         31.326         32.144         33.014         33.908         34.794         35.703         36.635         37.592         38.574         39.546         40.504         41.524         42.530         43.561         44.617         45.656         46.720         47.808         48.922         50.061         51.227         52.372         53.543         54.739         55.963         57.161         58.385         59.635         60.520         61.475         62.388         63.314         64.195         65.148         66.054         66.973         67.905         68.786         69.743         70.648         71.565         72.494         73.367         74.319         75.214         76.120         77.037         77.965         78.759         79.561         80.297         81.040         81.790         82.471         83.157         83.772         84.469         85.173         85.961         86.756         87.640         88.532         89.598         90.678         91.939         93.304         94.951         96.895         99.243        102.873        108.019        113.214        118.222        123.566        128.677        133.137        136.867        140.055        142.659        145.044        147.062        149.108        151.043        152.721        154.561        156.279        158.016        159.919        161.696        163.493        165.463        167.456        169.629        171.989        174.381        176.807        179.432        182.096        185.140        188.235        191.382        194.760        198.198        201.697        205.447        209.074        212.765        216.122        220.140        223.615        226.517        228.612        229.879        230.728        231.153        231.793        233.077        235.885        242.270        252.522        264.180        275.867        288.071        300.538        313.256        326.513        340.016        354.079        367.705        382.208        397.649        414.095        431.618        450.298        470.219        491.926        515.585        540.381        567.414        596.898        628.492        662.979        700.648        741.822        786.140        835.411        888.587        946.891       1011.812       1082.181       1159.578       1244.801       1339.985       1443.776       1557.041       1682.286       1820.958       1971.061       2137.470       2317.928       2522.899       2740.943       2977.831       3013.700       3047.193       3081.059       3115.301       3149.923       3184.930       3220.327       3256.117       3292.304       3325.829       3521.275       3241.156       3112.433       3683.833       4316.184       5038.485       5860.032       6784.221       7825.281       9001.189      10334.751      11822.244      13461.703      15328.510      17390.016      19656.219      22197.289      25020.730      28099.590      31499.234      35212.758      39291.621      43722.000      48517.680      53740.301      59360.836      65448.547      72027.773      79049.641      86596.414      94689.086     103347.539     112590.078     122433.414     132892.328     143979.266     155704.031     168228.656     181426.172     195298.984     210039.031     225683.562     241824.406     259119.359     277140.469     295869.281     315282.719     335351.375     356041.094     377311.469     399116.781     421017.406     442079.094          1.476          1.476          1.476  
2159         0.134          0.181          0.251          0.389          0.546          0.669          0.799          0.918          0.993          1.042          1.078          1.107          1.131          1.150          1.169          1.189          1.211          1.240          1.288          2.479          2.797          3.090          3.372          3.617          3.851          4.118          4.487          4.988          5.612          6.303          7.007          7.855          8.870         10.017         11.301         12.988         14.707         15.629         16.350         17.042         17.731         18.396         19.069         19.748         20.264         20.794         21.337         21.894         22.466         23.053         23.655         24.251         24.862         25.488         26.105         26.763         27.386         28.050         28.703         29.399         30.084         30.784         31.472         32.206         32.925         33.692         34.445         35.215         36.002         36.807         37.595         38.400         39.222         40.025         40.657         41.260         41.873         42.494         43.085         43.685         44.293         44.909         45.533         46.167         46.766         47.373         47.988         48.566         49.196         49.789         50.388         50.995         51.610         52.183         52.763         53.251         53.744         54.241         54.743         55.199         55.607         56.070         56.537         56.955         57.482         58.014         58.604         59.256         59.914         60.692         61.480         62.450         63.552         64.853         66.364         68.854         72.299         75.776         79.128         82.705         86.125         89.111         91.607         93.741         95.484         96.991         98.431         99.800        101.095        102.219        103.450        104.600        105.762        107.036        108.226        109.429        110.747        112.184        113.640        115.221        116.824        118.558        120.207        122.104        124.145        126.221        128.449        130.837        133.147        135.622        138.143        140.712        143.196        145.590        148.433        150.914        153.014        154.572        155.715        156.434        157.156        157.881        159.049        161.261        166.238        173.752        181.941        190.340        198.944        207.745        216.736        225.699        235.250        244.980        254.642        264.686        275.379        286.768        298.903        311.839        325.935        340.981        357.380        374.568        393.668        414.124        436.446        460.819        487.002        516.096        547.432        581.742        619.342        660.588        706.530        756.363        811.205        871.627        938.276       1011.883       1093.278       1182.308       1280.945       1389.090       1507.754       1638.062       1784.557       1942.363       2114.124       2139.590       2163.368       2189.427       2213.760       2240.426       2265.325       2290.501       2315.957       2341.696       2367.721       2509.172       2303.194       2211.722       2627.426       3089.801       3616.850       4222.119       4906.033       5679.766       6551.345       7556.669       8676.219       9934.145      11363.981      12951.812      14707.218      16685.166      18876.891      21317.219      24006.592      26960.660      30222.502      33785.508      37664.355      41911.227      46508.316      51514.602      56902.387      62680.223      68981.164      75775.781      83010.023      90851.180      99158.664     108126.094     117579.227     127741.008     138525.734     149806.500     162005.797     174876.156     188421.516     202642.484     217936.750     233738.641     250455.438     267874.000     286240.000     305021.625     324437.125     344453.469     364695.500     383999.375          1.201          1.201          1.202  
3567         0.076          0.103          0.143          0.219          0.304          0.370          0.438          0.500          0.539          0.565          0.584          0.598          0.611          0.621          0.631          0.641          0.652          0.667          0.691          1.278          1.431          1.572          1.707          1.822          1.931          2.054          2.221          2.449          2.722          3.013          3.306          3.652          4.057          4.531          5.074          5.810          6.561          6.965          7.287          7.581          7.880          8.169          8.460          8.761          8.982          9.208          9.448          9.686          9.930         10.180         10.436         10.699         10.969         11.234         11.517         11.786         12.071         12.352         12.640         12.935         13.236         13.532         13.834         14.156         14.473         14.796         15.127         15.465         15.796         16.149         16.495         16.848         17.193         17.545         17.805         18.070         18.338         18.610         18.869         19.132         19.398         19.668         19.941         20.200         20.481         20.766         21.035         21.328         21.605         21.885         22.169         22.457         22.728         23.001         23.257         23.494         23.733         23.953         24.174         24.398         24.601         24.806         25.012         25.220         25.454         25.713         25.975         26.263         26.555         26.875         27.249         27.654         28.116         28.665         29.333         30.405         31.868         33.400         34.814         36.354         37.892         39.206         40.304         41.243         42.049         42.752         43.386         44.030         44.643         45.181         45.725         46.276         46.833         47.397         47.968         48.546         49.131         49.722         50.368         51.021         51.683         52.402         53.131         53.871         54.721         55.533         56.461         57.405         58.419         59.505         60.667         61.852         63.002         64.055         65.366         66.520         67.507         68.321         68.889         69.335         69.719         70.105         70.754         71.871         74.225         77.652         81.461         85.301         89.238         93.272         97.309        101.520        105.816        110.294        114.539        119.056        123.980        129.108        134.695        140.654        147.012        153.798        161.195        169.103        177.726        186.961        197.220        208.234        220.268        233.212        247.601        263.361        280.383        299.331        320.149        343.046        368.258        395.687        426.336        460.205        497.224        538.210        583.649        633.507        688.259        748.431        816.116        889.102        969.509        980.284        992.092       1004.042       1015.200       1027.429       1038.847       1050.393       1062.067       1073.870       1085.805       1151.733       1057.187       1013.332       1206.012       1420.861       1666.294       1946.936       2266.479       2631.187       3040.547       3510.361       4037.865       4627.558       5308.254       6061.104       6895.277       7837.035       8882.838      10040.416      11327.961      12745.353      14300.521      16030.672      17887.592      19941.219      22169.287      24600.941      27223.986      30071.260      33155.207      36488.141      40045.320      43868.414      47968.008      52402.480      57036.355      62080.027      67445.336      73139.461      79168.383      85615.367      92502.141      99667.070     107288.141     115385.641     123751.875     132480.422     141563.641     150991.250     160602.297     170667.891     180863.828     190437.234          0.647          0.647          0.648  
4485         0.053          0.072          0.100          0.154          0.214          0.260          0.307          0.350          0.377          0.394          0.407          0.417          0.426          0.433          0.439          0.446          0.454          0.464          0.481          0.866          0.962          1.049          1.130          1.198          1.263          1.335          1.431          1.559          1.713          1.873          2.033          2.219          2.438          2.705          3.032          3.494          3.971          4.228          4.436          4.628          4.814          5.004          5.187          5.382          5.523          5.672          5.820          5.972          6.134          6.294          6.459          6.627          6.794          6.972          7.147          7.327          7.505          7.687          7.873          8.057          8.252          8.444          8.641          8.842          9.048          9.259          9.474          9.686          9.903         10.124         10.350         10.572         10.798         11.029         11.193         11.370         11.538         11.710         11.873         12.049         12.217         12.386         12.559         12.734         12.911         13.090         13.272         13.445         13.632         13.809         13.988         14.169         14.353         14.526         14.688         14.851         14.988         15.141         15.281         15.422         15.551         15.680         15.825         15.957         16.105         16.269         16.434         16.602         16.802         17.004         17.240         17.496         17.805         18.153         18.576         19.273         20.200         21.171         22.088         23.065         24.019         24.851         25.547         26.167         26.653         27.099         27.501         27.909         28.271         28.612         28.957         29.305         29.658         29.988         30.349         30.715         31.085         31.459         31.868         32.251         32.700         33.124         33.585         34.052         34.558         35.071         35.624         36.220         36.825         37.476         38.172         38.882         39.568         40.193         40.940         41.586         42.087         42.516         42.791         42.949         43.107         43.226         43.506         44.111         45.389         47.397         49.585         51.874         54.219         56.617         59.067         61.567         64.113         66.765         69.334         72.069         74.980         78.081         81.461         84.986         88.746         92.843         97.218        101.988        107.090        112.654        118.727        125.357        132.479        140.265        148.781        158.106        168.325        179.535        192.021        205.564        220.469        236.673        254.770        274.757        296.584        320.736        347.495        376.832        408.647        444.373        484.114        526.439        573.519        579.893        586.878        593.401        599.996        607.223        613.971        620.795        627.694        634.670        641.133        680.061        624.235        599.443        711.456        835.888        978.471       1141.164       1324.793       1533.727       1769.082       2038.675       2338.558       2675.149       3060.188       3487.771       3956.836       4484.852       5073.973       5719.368       6434.993       7220.182       8086.268       9031.252      10068.112      11193.043      12420.756      13757.772      15196.655      16755.139      18439.453      20255.740      22189.537      24285.557      26506.242      28903.336      31459.232      34178.117      37063.637      40192.789      43385.832      46746.387      50367.246      54168.676      58203.371      62366.027      66764.906      71276.758      75953.578      80713.852      85772.523      91064.312      96327.039     101519.188          0.451          0.451          0.451  
5729         0.035          0.047          0.066          0.101          0.140          0.170          0.202          0.230          0.247          0.259          0.267          0.274          0.280          0.284          0.289          0.293          0.298          0.305          0.316          0.572          0.637          0.697          0.752          0.799          0.843          0.893          0.958          1.047          1.151          1.257          1.362          1.484          1.626          1.796          2.004          2.297          2.601          2.764          2.894          3.016          3.138          3.259          3.378          3.499          3.590          3.684          3.780          3.879          3.980          4.084          4.191          4.300          4.409          4.520          4.633          4.746          4.861          4.978          5.099          5.218          5.344          5.469          5.591          5.721          5.855          5.985          6.125          6.262          6.402          6.545          6.691          6.834          6.981          7.124          7.236          7.343          7.452          7.563          7.668          7.782          7.890          8.000          8.111          8.224          8.339          8.447          8.564          8.676          8.796          8.910          9.026          9.143          9.262          9.373          9.478          9.574          9.672          9.761          9.851          9.943         10.035         10.118         10.202         10.287         10.382         10.488         10.595         10.713         10.832         10.972         11.115         11.280         11.479         11.703         11.976         12.414         13.023         13.636         14.226         14.870         15.485         16.021         16.470         16.854         17.183         17.470         17.730         17.993         18.226         18.446         18.668         18.893         19.120         19.351         19.584         19.820         20.058         20.300         20.545         20.811         21.081         21.375         21.672         21.973         22.300         22.652         23.009         23.394         23.785         24.227         24.677         25.136         25.580         26.007         26.491         26.934         27.283         27.561         27.765         27.867         27.970         28.099         28.281         28.675         29.532         30.867         32.322         33.845         35.375         36.940         38.539         40.170         41.870         43.601         45.279         47.065         49.011         51.038         53.198         55.552         58.009         60.687         63.606         66.665         70.064         73.705         77.678         81.940         86.676         91.769         97.341        103.442        110.229        117.570        125.631        134.492        144.377        155.131        166.993        180.093        194.580        210.425        227.771        247.001        268.348        291.540        317.613        345.699        376.615        381.152        385.388        390.030        394.365        398.747        403.551        408.035        412.570        417.155        421.403        446.990        410.297        393.639        467.625        549.918        644.314        752.139        873.973       1012.740       1169.224       1348.646       1549.879       1774.589       2033.751       2322.190       2641.788       2999.838       3400.149       3843.243       4336.086       4878.629       5478.958       6136.175       6859.586       7647.119       8509.378       9442.735      10468.820      11563.731      12761.389      14057.165      15441.798      16947.197      18548.037      20281.402      22115.564      24093.393      26199.791      28464.141      30838.828      33350.168      36032.789      38859.559      41830.969      44863.996      47984.176      51226.887      54588.078      58062.793      61645.020      65508.523      69294.352      73029.406          0.296          0.296          0.296  
