 1.00 0.541 0.0180    1.00 0.700 0.0000    1.00 0.286 0.0000    1.00 0.606 0.0291    1.00 0.624 0.0212    1.00 0.362 0.0846   
 2.00 0.499 0.0122    2.00 0.441 0.0056    2.00 0.354 0.0039    2.00 0.591 0.0349    2.00 0.637 0.0214    2.00 0.336 0.1134   
 3.00 0.471 0.0107    3.00 0.417 0.0043    3.00 0.340 0.0040    3.00 0.551 0.0269    3.00 0.634 0.0329    3.00 0.357 0.0788   
 4.00 0.466 0.0100    4.00 0.440 0.0045    4.00 0.352 0.0026    4.00 0.523 0.0226    4.00 0.604 0.0358    4.00 0.390 0.0802   
 5.00 0.470 0.0090    5.00 0.457 0.0043    5.00 0.362 0.0021    5.00 0.516 0.0199    5.00 0.615 0.0344    5.00 0.369 0.0763   
 6.00 0.477 0.0085    6.00 0.455 0.0039    6.00 0.372 0.0021    6.00 0.529 0.0184    6.00 0.616 0.0331    6.00 0.381 0.0745   
 7.00 0.481 0.0084    7.00 0.455 0.0039    7.00 0.376 0.0020    7.00 0.537 0.0183    7.00 0.617 0.0328    7.00 0.381 0.0745   
 8.00 0.481 0.0084    8.00 0.455 0.0039    8.00 0.376 0.0020    8.00 0.537 0.0183    8.00 0.617 0.0328    8.00 0.381 0.0745   
 9.00 0.481 0.0084    9.00 0.455 0.0039    9.00 0.376 0.0020    9.00 0.537 0.0183    9.00 0.617 0.0328    9.00 0.381 0.0745   
