 0.00  0.00   0.0
 0.00  0.10   0.0
 0.00  0.20   0.0
 0.00  0.30   0.0
 0.00  0.40   0.0
 0.00  0.50   0.0
 0.00  0.60   0.0
 0.00  0.70   0.0
 0.00  0.80   0.0
 0.00  0.90   0.0
 0.00  1.00   0.0
 0.30  0.00   0.0
 0.30  0.10   0.0
 0.30  0.20   0.0
 0.30  0.30   0.0
 0.30  0.40   0.0
 0.30  0.50   0.0
 0.30  0.60   0.0
 0.30  0.70   0.0
 0.30  0.80   0.0
 0.30  0.90   0.0
 0.30  1.00   0.0
 0.60  0.00   4.7
 0.60  0.10   0.0
 0.60  0.20   0.0
 0.60  0.30   0.0
 0.60  0.40   0.0
 0.60  0.50   0.0
 0.60  0.60   1.0
 0.60  0.70   0.0
 0.60  0.80   3.0
 0.60  0.90   2.0
 0.60  1.00   0.0
 0.90  0.00   8.1
 0.90  0.10   0.0
 0.90  0.20   0.0
 0.90  0.30   0.0
 0.90  0.40   0.0
 0.90  0.50   3.9
 0.90  0.60  12.2
 0.90  0.70   2.0
 0.90  0.80   0.1
 0.90  0.90   1.4
 0.90  1.00   2.0
 1.20  0.00  63.5
 1.20  0.10   0.0
 1.20  0.20   0.0
 1.20  0.30   0.0
 1.20  0.40  15.3
 1.20  0.50  21.5
 1.20  0.60  16.6
 1.20  0.70   4.8
 1.20  0.80   7.7
 1.20  0.90  31.1
 1.20  1.00   3.1
 1.50  0.00  20.1
 1.50  0.10   0.0
 1.50  0.20   0.0
 1.50  0.30   1.1
 1.50  0.40  16.2
 1.50  0.50  24.6
 1.50  0.60   6.0
 1.50  0.70  14.3
 1.50  0.80   8.1
 1.50  0.90   5.6
 1.50  1.00   2.0
 1.80  0.00   9.0
 1.80  0.10   0.0
 1.80  0.20   0.0
 1.80  0.30   2.0
 1.80  0.40   2.0
 1.80  0.50   2.0
 1.80  0.60   5.4
 1.80  0.70   2.0
 1.80  0.80   1.5
 1.80  0.90   0.7
 1.80  1.00   0.0
 2.10  0.00   2.6
 2.10  0.10   0.0
 2.10  0.20   0.0
 2.10  0.30   5.4
 2.10  0.40   0.0
 2.10  0.50   1.7
