 0.62 0.432 0.0721    0.72 0.433 0.0791    0.61 0.497 0.1007    0.55 0.383 0.1337   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   
 1.43 0.351 0.0512    1.64 0.500 0.0913    1.47 0.333 0.0609    1.26 0.330 0.1107   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   
 2.10 0.357 0.0520    2.25 0.310 0.0779    2.09 0.327 0.0730    1.95 0.313 0.0999   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   
 2.82 0.414 0.0508    3.03 0.497 0.1007    2.73 0.377 0.0988    2.74 0.457 0.1047   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   
 3.65 0.393 0.0488    3.72 0.360 0.0791    3.62 0.370 0.1024    3.64 0.403 0.0916   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   
 4.45 0.340 0.0472    4.56 0.413 0.0918    4.27 0.343 0.0887    5.25 0.330 0.1243   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   
-1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000    4.93 0.233 0.0426   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   
