 0.59 0.558 0.0735    0.52 0.463 0.0926    0.74 0.558 0.0849    0.49 0.650 0.2279   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   
 1.20 0.450 0.0589    1.13 0.379 0.0825    1.40 0.360 0.0599    0.97 0.678 0.2245   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   
 1.74 0.347 0.0505    1.68 0.366 0.0735    2.09 0.374 0.0621    1.33 0.544 0.1768   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   
 2.39 0.423 0.0578    2.30 0.329 0.1063    2.77 0.422 0.0705    1.77 0.450 0.2005   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   
 3.08 0.487 0.0586    3.00 0.437 0.0919    3.51 0.470 0.0799    2.28 0.522 0.1740   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   
 4.32 0.426 0.0452    4.41 0.400 0.0846   -1.00 -1.000 -1.0000    2.94 0.810 0.2313   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   
