 1.00 0.622 0.0112    1.00 0.667 0.0000    1.00 0.205 0.0292    1.00 0.713 0.0188    1.00 0.791 0.0425    1.00 0.477 0.2155   
 2.00 0.543 0.0082    2.00 0.470 0.0078    2.00 0.343 0.0061    2.00 0.607 0.0123    2.00 0.763 0.0269    2.00 0.438 0.1486   
 3.00 0.499 0.0085    3.00 0.420 0.0058    3.00 0.323 0.0048    3.00 0.564 0.0089    3.00 0.743 0.0251    3.00 0.446 0.1179   
 4.00 0.493 0.0077    4.00 0.452 0.0038    4.00 0.354 0.0043    4.00 0.523 0.0104    4.00 0.708 0.0266    4.00 0.443 0.1132   
 5.00 0.506 0.0064    5.00 0.478 0.0037    5.00 0.377 0.0030    5.00 0.536 0.0092    5.00 0.715 0.0275    5.00 0.436 0.1133   
 6.00 0.514 0.0063    6.00 0.476 0.0036    6.00 0.391 0.0032    6.00 0.546 0.0084    6.00 0.723 0.0272    6.00 0.440 0.1108   
 7.00 0.517 0.0063    7.00 0.476 0.0036    7.00 0.394 0.0032    7.00 0.551 0.0084    7.00 0.721 0.0269    7.00 0.440 0.1108   
 8.00 0.517 0.0063    8.00 0.476 0.0036    8.00 0.394 0.0032    8.00 0.551 0.0084    8.00 0.721 0.0269    8.00 0.440 0.1108   
 9.00 0.517 0.0063    9.00 0.476 0.0036    9.00 0.394 0.0032    9.00 0.551 0.0084    9.00 0.721 0.0269    9.00 0.440 0.1108   
