 0.00  0.00   0.0
 0.00  0.10   0.0
 0.00  0.20   0.0
 0.00  0.30   0.0
 0.00  0.40   0.0
 0.00  0.50   0.0
 0.00  0.60   0.0
 0.00  0.70   0.0
 0.00  0.80   0.0
 0.00  0.90   0.0
 0.00  1.00   0.0
 0.30  0.00  32.4
 0.30  0.10   0.0
 0.30  0.20   0.0
 0.30  0.30   0.8
 0.30  0.40   8.1
 0.30  0.50   5.7
 0.30  0.60   5.7
 0.30  0.70   2.6
 0.30  0.80   5.2
 0.30  0.90   8.6
 0.30  1.00   0.8
 0.60  0.00  40.7
 0.60  0.10   0.0
 0.60  0.20   0.0
 0.60  0.30   6.2
 0.60  0.40   5.3
 0.60  0.50   5.2
 0.60  0.60   2.9
 0.60  0.70   3.0
 0.60  0.80   3.3
 0.60  0.90   3.3
 0.60  1.00   0.0
 0.90  0.00  40.8
 0.90  0.10   0.0
 0.90  0.20   0.0
 0.90  0.30   6.6
 0.90  0.40   4.0
 0.90  0.50   3.4
 0.90  0.60   2.3
 0.90  0.70   3.6
 0.90  0.80   4.7
 0.90  0.90   4.3
 0.90  1.00   0.2
 1.20  0.00  30.5
 1.20  0.10   0.0
 1.20  0.20   0.0
 1.20  0.30   6.9
 1.20  0.40   4.7
 1.20  0.50   4.1
 1.20  0.60   4.5
 1.20  0.70   4.2
 1.20  0.80   8.7
 1.20  0.90   6.2
 1.20  1.00   0.0
 1.50  0.00  19.6
 1.50  0.10   0.0
 1.50  0.20   0.0
 1.50  0.30  11.8
 1.50  0.40   4.2
 1.50  0.50   6.8
 1.50  0.60   8.9
 1.50  0.70   9.2
 1.50  0.80   5.9
 1.50  0.90   3.6
 1.50  1.00   0.0
 1.80  0.00  15.7
 1.80  0.10   0.0
 1.80  0.20   0.0
 1.80  0.30   8.2
 1.80  0.40  17.5
 1.80  0.50  13.7
 1.80  0.60   8.6
 1.80  0.70   2.2
 1.80  0.80   2.0
 1.80  0.90   2.1
 1.80  1.00   0.0
 2.10  0.00  20.0
 2.10  0.10   0.0
 2.10  0.20   0.0
 2.10  0.30   9.2
 2.10  0.40  10.1
 2.10  0.50  13.6
