 0.44 0.648 0.0151    0.44 0.500 0.0000    0.44 0.245 0.0342    0.44 0.738 0.0227    0.44 0.842 0.0529    0.44 0.580 0.2002   
 1.32 0.529 0.0110    1.32 0.501 0.0099    1.32 0.339 0.0067    1.32 0.548 0.0153    1.32 0.754 0.0237    1.32 0.417 0.1511   
 2.20 0.467 0.0133    2.20 0.403 0.0092    2.20 0.345 0.0063    2.20 0.504 0.0085    2.20 0.749 0.0442    2.20 0.517 0.1294   
 3.08 0.468 0.0117    3.08 0.425 0.0087    3.08 0.419 0.0044    3.08 0.512 0.0188    3.08 0.557 0.0524    3.08 0.357 0.1626   
 3.96 0.484 0.0090    3.96 0.526 0.0052    3.96 0.381 0.0068    3.96 0.479 0.0093    3.96 0.673 0.0533    3.96 0.533 0.2211   
 4.84 0.617 0.0068    4.84 0.628 0.0135    4.84 0.552 0.0166    4.84 0.618 0.0095    4.84 0.851 0.0422    4.84 0.444 0.0786   
